time_step,latency_sensitivity,CPU.S1,CPU.S2,CPU.S3,CPU.S4,GPU.S1,GPU.S2,GPU.S3
1,high,4000,0,0,0,30,0,0
2,high,8160,0,0,0,61,0,0
3,high,11016,0,0,0,95,0,0
4,high,13953,0,0,0,130,0,0
5,high,19186,0,0,0,168,0,0
6,high,27627,0,0,0,208,0,0
7,high,25785,0,0,0,250,0,0
8,high,30942,0,0,0,294,0,0
9,high,36550,0,0,0,342,0,0
10,high,42644,0,0,0,391,0,0
11,high,49253,0,0,0,443,0,0
12,high,59102,0,0,0,498,0,0
13,high,65309,0,0,0,549,0,0
14,high,71738,0,0,0,604,0,0
15,high,69177,0,0,0,660,0,0
16,high,70099,0,0,0,718,0,0
17,high,81929,0,0,0,778,0,0
18,high,104097,0,0,0,840,0,0
19,high,87905,0,0,0,906,0,0
20,high,97160,0,0,0,972,0,0
21,high,107116,0,0,0,1041,0,0
22,high,117827,0,0,0,1113,0,0
23,high,129342,0,0,0,1186,0,0
24,high,148464,0,0,0,1262,0,0
25,high,157745,0,0,0,1342,0,0
26,high,167336,0,0,0,1422,0,0
27,high,156394,0,0,0,1506,0,0
28,high,154078,0,0,0,1596,0,0
29,high,175537,0,0,0,1684,0,0
30,high,217908,0,0,0,1779,0,0
31,high,180134,0,0,0,1872,0,0
32,high,195244,0,0,0,1974,0,0
33,high,211417,0,0,0,2075,0,0
34,high,228711,0,0,0,2179,0,0
35,high,247212,0,0,0,2289,0,0
36,high,279705,0,0,0,2401,0,0
37,high,263898,7329,0,0,2519,0,0
38,high,259813,11838,0,0,2637,0,0
39,high,224616,14777,0,0,2761,0,0
40,high,203880,18142,0,0,2888,0,0
41,high,212995,24675,0,0,3021,0,0
42,high,241071,35521,0,0,3158,0,0
43,high,180453,33344,0,0,3298,0,0
44,high,175612,40392,0,0,3440,0,0
45,high,168975,48278,0,0,3591,0,0
46,high,160310,57081,0,0,3744,0,0
47,high,149403,66885,0,0,3901,0,0
48,high,142464,81482,0,0,4065,0,0
49,high,121931,91448,0,0,3807,86,0
50,high,126900,95180,0,0,3870,106,0
51,high,116494,87375,0,0,3932,127,0
52,high,112840,84635,0,0,3988,149,0
53,high,126511,94888,0,0,4043,171,0
54,high,154677,116013,0,0,4098,194,0
55,high,126038,94528,0,0,4147,218,0
56,high,134747,101060,0,0,4188,243,0
57,high,144004,108009,0,0,4229,269,0
58,high,153862,115399,0,0,4263,296,0
59,high,164338,123259,0,0,4295,324,0
60,high,183840,137883,0,0,4320,353,0
61,high,190637,142984,0,0,4343,383,0
62,high,197643,148235,0,0,4358,414,0
63,high,180747,135563,0,0,4365,446,0
64,high,174438,130828,0,0,4371,479,0
65,high,194870,146159,0,0,4368,513,0
66,high,237454,178091,0,0,4356,549,0
67,high,192839,144632,0,0,4334,586,0
68,high,205496,154128,0,0,4311,624,0
69,high,218950,164216,0,0,4278,663,0
70,high,233226,174926,0,0,4235,703,0
71,high,248386,186296,0,0,4181,745,0
72,high,277084,103906,0,0,4125,789,0
73,high,229234,100292,7850,0,4095,842,0
74,high,222207,102465,9676,0,4099,891,0
75,high,189180,92338,10209,0,4087,942,0
76,high,169100,87806,11125,0,4073,996,0
77,high,173958,96650,13807,0,4050,1053,0
78,high,193845,116019,18451,0,4017,1111,0
79,high,142784,92815,16267,0,3965,1173,0
80,high,136640,97424,18662,0,3912,1236,0
81,high,32282,102228,21256,0,959,1303,0
82,high,30024,107235,24062,0,936,1373,0
83,high,27352,112450,27096,0,913,1445,0
84,high,25372,123494,23865,0,882,380,0
85,high,20952,125719,25883,0,850,400,0
86,high,21620,124334,28286,0,885,412,0
87,high,19683,108280,27155,0,922,424,0
88,high,18915,99319,27409,0,961,437,0
89,high,21044,105231,31924,0,1001,450,0
90,high,25537,121311,40437,0,1041,463,0
91,high,20657,92963,34052,0,1085,477,0
92,high,21928,93200,37542,0,1131,492,0
93,high,23273,93106,41297,0,1167,502,0
94,high,24703,92637,45333,0,1203,512,0
95,high,26210,91751,49669,0,1239,522,0
96,high,29136,94701,56913,0,1276,532,0
97,high,30031,90093,60373,0,657,543,271
98,high,28366,90265,62765,0,622,545,334
99,high,23448,79722,57554,0,581,547,400
100,high,20250,74250,55689,0,540,549,468
101,high,19998,79994,62371,0,494,551,539
102,high,21205,93913,76182,0,443,553,612
103,high,14682,73418,62015,0,391,554,688
104,high,12968,75244,66238,0,338,555,767
105,high,10998,77014,70729,0,278,557,848
106,high,8745,78720,75504,0,214,558,933
107,high,6179,80346,80578,0,147,558,1021
108,high,3429,85776,90066,0,75,559,1111
109,high,0,84769,81660,15554,0,559,1206
110,high,0,83622,81805,19170,0,560,1274
111,high,0,72641,72286,20228,0,560,1344
112,high,0,66466,67400,22043,0,559,1416
113,high,0,70254,72741,27356,0,559,1491
114,high,0,80797,85611,36557,0,558,1569
115,high,0,61772,67146,32230,0,557,1649
116,high,0,61790,69093,36975,0,556,1731
117,high,0,61591,71067,42114,0,555,1816
118,high,0,61147,73066,47674,0,553,1904
119,high,0,60431,75087,53685,0,551,1995
120,high,0,62244,80800,63044,0,548,2088
121,high,0,59093,80585,68375,0,546,2185
122,high,0,58242,79083,74724,0,547,2265
123,high,0,50549,68373,71735,0,549,2349
124,high,0,46211,62292,72408,0,550,2434
125,high,0,48803,65592,84334,0,551,2522
126,high,0,56079,75198,106823,0,552,2613
127,high,0,42840,57347,89956,0,553,2706
128,high,0,42819,57262,99177,0,554,2802
129,high,0,42644,57026,109094,0,554,2901
130,high,0,42302,56623,119756,0,554,3003
131,high,0,41775,56037,131211,0,554,3107
132,high,0,42999,57882,150346,0,554,3214
133,high,0,40791,55206,159487,0,554,3325
134,high,0,38424,56310,163719,0,553,3496
135,high,0,31674,50679,148286,0,551,3674
136,high,0,27281,48145,141763,0,548,3860
137,high,0,26872,52960,156920,0,545,4054
138,high,0,28421,63552,189481,0,542,4256
139,high,0,19630,50841,152527,0,537,4467
140,high,0,17300,53384,161141,0,532,4686
141,high,0,14635,56053,170237,0,526,4914
142,high,0,11604,58856,179838,0,519,2576
143,high,0,8179,61798,189975,0,512,2700
144,high,0,4528,67978,210231,0,503,2829
145,high,0,0,69338,215720,0,493,2963
146,high,0,0,68760,222654,0,500,3069
147,high,0,0,60116,202746,0,501,3147
148,high,0,0,55431,194848,0,507,3260
149,high,0,0,59126,216797,0,508,3343
150,high,0,0,68734,263112,0,514,3462
151,high,0,0,53213,212855,0,520,3585
152,high,0,0,54012,225981,0,526,3713
153,high,0,0,54756,239887,0,526,3807
154,high,0,0,55441,254620,0,526,3904
155,high,0,0,56057,270225,0,526,4003
156,high,0,0,59291,300410,0,526,4105
157,high,0,0,58058,309644,0,526,4209
158,high,0,0,59219,315837,0,519,4380
159,high,0,0,53297,284253,0,511,4558
160,high,0,0,50632,270040,0,503,4743
161,high,0,0,55695,297045,0,488,4886
162,high,0,0,66834,356454,0,473,5034
163,high,0,0,53467,285163,0,457,5185
164,high,0,0,56141,299421,0,440,5341
165,high,0,0,58948,314392,0,423,5501
166,high,0,0,61896,330112,0,404,5665
167,high,0,0,64990,346617,0,385,5833
168,high,0,0,71489,381279,0,364,6006
1,medium,6000,0,0,0,10,0,0
2,medium,12240,0,0,0,20,0,0
3,medium,16524,0,0,0,31,0,0
4,medium,20930,0,0,0,43,0,0
5,medium,28779,0,0,0,56,0,0
6,medium,41442,0,0,0,69,0,0
7,medium,38679,0,0,0,83,0,0
8,medium,46414,0,0,0,97,0,0
9,medium,54828,0,0,0,113,0,0
10,medium,63966,0,0,0,130,0,0
11,medium,73880,0,0,0,147,0,0
12,medium,88656,0,0,0,165,0,0
13,medium,97965,0,0,0,183,0,0
14,medium,107609,0,0,0,201,0,0
15,medium,103767,0,0,0,219,0,0
16,medium,105152,0,0,0,238,0,0
17,medium,122896,0,0,0,258,0,0
18,medium,156150,0,0,0,279,0,0
19,medium,131860,0,0,0,302,0,0
20,medium,145740,0,0,0,324,0,0
21,medium,160675,0,0,0,346,0,0
22,medium,176743,0,0,0,369,0,0
23,medium,194018,0,0,0,395,0,0
24,medium,222700,0,0,0,420,0,0
25,medium,236620,0,0,0,447,0,0
26,medium,251004,0,0,0,473,0,0
27,medium,234592,0,0,0,502,0,0
28,medium,231117,0,0,0,532,0,0
29,medium,263308,0,0,0,559,0,0
30,medium,326868,0,0,0,591,0,0
31,medium,270208,0,0,0,623,0,0
32,medium,292870,0,0,0,656,0,0
33,medium,317123,0,0,0,689,0,0
34,medium,343073,0,0,0,724,0,0
35,medium,370818,0,0,0,763,0,0
36,medium,419558,0,0,0,799,0,0
37,medium,395848,10994,0,0,839,0,0
38,medium,389720,17757,0,0,877,0,0
39,medium,336928,22165,0,0,920,0,0
40,medium,305824,27212,0,0,960,0,0
41,medium,319496,37014,0,0,1004,0,0
42,medium,361611,53283,0,0,1050,0,0
43,medium,270676,50015,0,0,1096,0,0
44,medium,263428,60588,0,0,1144,0,0
45,medium,253458,72418,0,0,1197,0,0
46,medium,240469,85622,0,0,1246,0,0
47,medium,224105,100328,0,0,1297,0,0
48,medium,213705,122222,0,0,1353,0,0
49,medium,182897,137173,0,0,1269,28,0
50,medium,190360,142770,0,0,1290,35,0
51,medium,174746,131064,0,0,1310,42,0
52,medium,169270,126952,0,0,1326,49,0
53,medium,189771,142331,0,0,1346,57,0
54,medium,232027,174023,0,0,1366,64,0
55,medium,189057,141795,0,0,1380,72,0
56,medium,202115,151592,0,0,1394,81,0
57,medium,216018,162013,0,0,1407,89,0
58,medium,230793,173101,0,0,1421,98,0
59,medium,246513,184888,0,0,1427,108,0
60,medium,275760,206823,0,0,1440,117,0
61,medium,285968,214476,0,0,1445,127,0
62,medium,296471,222353,0,0,1450,138,0
63,medium,271126,203345,0,0,1455,148,0
64,medium,261657,196243,0,0,1452,159,0
65,medium,292318,219241,0,0,1456,171,0
66,medium,356175,267138,0,0,1452,183,0
67,medium,289265,216949,0,0,1440,195,0
68,medium,308257,231196,0,0,1434,208,0
69,medium,328426,246326,0,0,1421,221,0
70,medium,349846,262391,0,0,1407,234,0
71,medium,372593,279445,0,0,1391,248,0
72,medium,415627,311720,0,0,1375,263,0
73,medium,343859,300876,11776,0,1365,280,0
74,medium,333310,307396,14514,0,1361,297,0
75,medium,283770,277016,15314,0,1357,314,0
76,medium,253657,263423,16688,0,1352,332,0
77,medium,260953,289955,20711,0,1347,351,0
78,medium,290768,348059,27677,0,1333,370,0
79,medium,214184,278447,24401,0,1319,391,0
80,medium,204960,292272,27993,0,1304,412,0
81,medium,242109,306686,31884,0,1663,434,0
82,medium,225192,321706,36094,0,1620,457,0
83,medium,205134,337353,40645,0,1575,481,0
84,medium,190302,370486,47730,0,1528,608,0
85,medium,157143,377157,51766,0,1469,639,0
86,medium,162174,373007,56573,0,1531,658,0
87,medium,147639,324844,54310,0,1594,679,0
88,medium,141878,297959,54819,0,1658,699,0
89,medium,157841,315696,63849,0,1735,720,0
90,medium,191542,363937,80875,0,1801,741,0
91,medium,154927,278892,68105,0,1880,764,0
92,medium,164473,279606,75086,0,1961,787,0
93,medium,174561,279320,82595,0,2019,802,0
94,medium,185274,277911,90666,0,2077,818,0
95,medium,196602,275253,99339,0,2148,835,0
96,medium,218544,284107,113826,0,2208,852,0
97,medium,225234,270285,120747,0,1134,868,90
98,medium,212758,270798,125530,0,1070,872,111
99,medium,175848,239169,115109,0,1003,876,133
100,medium,151875,222755,111378,0,936,878,156
101,medium,149985,239981,124744,0,853,882,179
102,medium,159043,281739,152366,0,769,884,204
103,medium,110107,220260,124031,0,669,886,229
104,medium,97292,225732,132478,0,581,889,255
105,medium,82503,231047,141459,0,477,890,282
106,medium,65587,236162,151008,0,372,892,311
107,medium,46330,241038,161158,0,250,894,340
108,medium,25731,257331,180133,0,126,895,370
109,medium,0,254313,163320,23331,0,895,402
110,medium,0,250871,163612,28756,0,895,424
111,medium,0,217926,144573,30342,0,895,448
112,medium,0,199404,134801,33064,0,895,472
113,medium,0,210761,145484,41034,0,894,497
114,medium,0,242398,171223,54836,0,894,523
115,medium,0,185322,134293,48345,0,891,549
116,medium,0,185373,138187,55463,0,890,577
117,medium,0,184772,142135,63171,0,888,605
118,medium,0,183442,146133,71512,0,884,634
119,medium,0,181296,150175,80528,0,882,665
120,medium,0,186738,161601,94566,0,877,696
121,medium,0,177283,161170,102563,0,873,728
122,medium,0,174728,158167,112087,0,876,755
123,medium,0,151652,136746,107603,0,878,783
124,medium,0,138638,124584,108612,0,880,811
125,medium,0,146412,131186,126501,0,882,840
126,medium,0,168241,150396,160235,0,884,871
127,medium,0,128524,114694,134934,0,885,902
128,medium,0,128454,114525,148765,0,886,934
129,medium,0,127935,114053,163642,0,886,967
130,medium,0,126912,113247,179634,0,886,1001
131,medium,0,125327,112076,196816,0,886,1035
132,medium,0,128997,115766,225519,0,886,1071
133,medium,0,122373,110414,239230,0,885,1108
134,medium,0,115280,112622,245579,0,884,1165
135,medium,0,95019,101360,222429,0,880,1224
136,medium,0,81844,96292,212645,0,877,1286
137,medium,0,80617,105921,235381,0,872,1351
138,medium,0,85263,127105,284222,0,866,1418
139,medium,0,58887,101684,228790,0,859,1489
140,medium,0,51898,106768,241712,0,852,1562
141,medium,0,43907,112107,255355,0,842,1638
142,medium,0,34818,117712,269758,0,831,2060
143,medium,0,24545,123598,284962,0,818,2160
144,medium,0,13593,135958,315347,0,805,2263
145,medium,0,0,138677,323580,0,789,2370
146,medium,0,0,137521,333981,0,799,2455
147,medium,0,0,120233,304119,0,801,2517
148,medium,0,0,110862,292272,0,811,2607
149,medium,0,0,118252,325195,0,813,2673
150,medium,0,0,137469,394669,0,823,2769
151,medium,0,0,106427,319283,0,831,2868
152,medium,0,0,108024,338972,0,841,2970
153,medium,0,0,109514,359831,0,842,3045
154,medium,0,0,110883,381930,0,842,3122
155,medium,0,0,112115,405338,0,842,3201
156,medium,0,0,118583,450616,0,842,3283
157,medium,0,0,116116,464466,0,841,3367
158,medium,0,0,118439,473756,0,830,3504
159,medium,0,0,106595,426380,0,818,3645
160,medium,0,0,101265,405061,0,804,3794
161,medium,0,0,111391,445567,0,781,3908
162,medium,0,0,133670,534681,0,757,4027
163,medium,0,0,106936,427744,0,732,4148
164,medium,0,0,112283,449132,0,704,4273
165,medium,0,0,117897,471588,0,676,4400
166,medium,0,0,123792,495168,0,646,4531
167,medium,0,0,129981,519926,0,615,4666
168,medium,0,0,142979,571919,0,583,4804
1,low,10000,0,0,0,10,0,0
2,low,20400,0,0,0,20,0,0
3,low,27540,0,0,0,31,0,0
4,low,34884,0,0,0,43,0,0
5,low,47965,0,0,0,56,0,0
6,low,69069,0,0,0,69,0,0
7,low,64464,0,0,0,83,0,0
8,low,77358,0,0,0,97,0,0
